Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8
1;23/11/2003 21:28;785800;65483;34;VERDADERO;80;FALSO
2;24/05/2001 6:35;591800;49316;19;FALSO;110;FALSO
3;09/04/2012 14:28;726100;60508;52;FALSO;450;FALSO
4;10/01/2000 11:48;853800;71150;95;FALSO;140;VERDADERO
5;01/05/1994 20:52;956900;79741;57;FALSO;250;VERDADERO
6;10/04/1996 17:47;699800;58316;47;FALSO;100;VERDADERO
7;11/09/2000 8:35;904500;75375;81;FALSO;50;VERDADERO
8;01/01/2008 6:07;677700;56475;75;FALSO;110;FALSO
9;13/05/2011 18:52;133100;11091;60;FALSO;490;FALSO
10;29/10/1991 15:45;478200;39850;46;VERDADERO;90;VERDADERO
11;30/09/1994 5:33;950700;79225;36;VERDADERO;180;FALSO
12;11/03/1994 13:44;360200;30016;25;VERDADERO;430;FALSO
13;05/08/2012 2:20;115100;9591;45;VERDADERO;120;FALSO
14;28/04/2002 19:56;179600;14966;83;VERDADERO;370;VERDADERO
15;13/01/2012 10:41;158500;13208;46;FALSO;190;VERDADERO
16;23/04/2010 5:18;622900;51908;49;VERDADERO;280;VERDADERO
17;29/12/1999 11:56;438500;36541;33;FALSO;130;FALSO
18;06/06/1996 0:56;365400;30450;92;VERDADERO;230;FALSO
19;25/07/2011 16:48;984500;82041;61;VERDADERO;210;VERDADERO
20;27/05/1999 14:17;700000;58333;44;VERDADERO;410;FALSO
21;28/11/1996 9:10;595300;49608;63;FALSO;230;FALSO
22;21/12/2000 21:19;770400;64200;69;FALSO;200;VERDADERO
23;19/05/2001 15:37;612300;51025;55;VERDADERO;30;VERDADERO
24;21/08/1995 19:18;718100;59841;53;FALSO;390;VERDADERO
25;14/03/2003 1:57;470600;39216;93;FALSO;150;FALSO
26;30/05/1996 6:29;146900;12241;45;VERDADERO;140;VERDADERO
27;31/05/2000 5:43;880700;73391;72;FALSO;450;FALSO
28;15/06/1993 10:07;480700;40058;25;VERDADERO;70;FALSO
29;25/06/1999 23:26;712000;59333;52;FALSO;330;VERDADERO
30;12/07/2008 5:42;392900;32741;45;FALSO;320;FALSO
31;23/09/1999 6:16;538400;44866;32;FALSO;90;FALSO
32;29/09/1997 23:23;924500;77041;41;VERDADERO;140;FALSO
33;17/06/2003 3:22;552800;46066;54;FALSO;260;VERDADERO
34;17/03/1992 17:43;552300;46025;47;FALSO;20;FALSO
35;01/05/1994 17:38;735800;61316;55;FALSO;220;FALSO
36;29/10/1997 23:59;942500;78541;95;FALSO;200;VERDADERO
37;08/09/2009 10:44;293400;24450;81;VERDADERO;270;VERDADERO
38;04/06/1993 10:17;852200;71016;94;FALSO;320;FALSO
39;15/04/1997 1:47;562400;46866;33;FALSO;260;VERDADERO
40;11/05/2009 14:41;350600;29216;23;FALSO;60;FALSO
41;15/04/2005 2:22;383100;31925;42;VERDADERO;210;FALSO
42;31/12/1999 3:29;327200;27266;76;VERDADERO;190;FALSO
43;13/06/2005 8:05;278100;23175;94;FALSO;330;VERDADERO
44;30/06/1990 20:51;861200;71766;79;VERDADERO;10;VERDADERO
45;24/05/2008 19:48;879800;73316;34;FALSO;260;FALSO
46;02/12/2008 17:30;390000;32500;64;VERDADERO;340;VERDADERO
47;18/01/1995 4:19;326500;27208;18;VERDADERO;400;FALSO
48;12/05/2006 13:39;387300;32275;12;FALSO;440;VERDADERO
49;03/03/2001 14:54;487300;40608;22;VERDADERO;130;VERDADERO
50;21/01/1999 11:35;875300;72941;96;VERDADERO;360;FALSO
51;26/01/2006 22:27;460800;38400;69;FALSO;180;FALSO
52;03/07/2007 0:40;141900;11825;44;FALSO;490;VERDADERO
53;24/09/1991 16:20;232600;19383;59;VERDADERO;260;VERDADERO
54;02/08/2003 8:08;274600;22883;11;VERDADERO;120;FALSO
55;21/06/2006 18:22;449800;37483;66;FALSO;260;FALSO
56;23/08/2003 12:58;756700;63058;18;VERDADERO;120;FALSO
57;19/06/2010 18:17;470800;39233;20;FALSO;410;VERDADERO
58;19/08/2010 8:09;600100;50008;81;FALSO;320;VERDADERO
59;19/06/1992 12:37;617000;51416;33;VERDADERO;40;FALSO
60;21/05/1994 8:06;757300;63108;39;FALSO;150;VERDADERO
61;04/04/1998 21:41;929400;77450;67;FALSO;450;FALSO
62;09/01/2011 11:43;233700;19475;17;FALSO;170;VERDADERO
63;14/02/1999 23:38;606200;50516;83;FALSO;370;FALSO
64;16/10/2008 17:28;636500;53041;44;VERDADERO;90;FALSO
65;13/01/2012 3:57;706600;58883;95;FALSO;160;VERDADERO
66;10/11/2011 8:00;102400;8533;61;FALSO;330;VERDADERO
67;02/03/1994 8:42;303400;25283;74;VERDADERO;450;FALSO
68;22/06/1991 5:15;630500;52541;58;VERDADERO;160;FALSO
69;22/11/1991 2:53;132700;11058;27;FALSO;330;FALSO
70;02/06/2007 17:41;687500;57291;88;FALSO;110;FALSO
71;03/11/2007 10:46;194300;16191;72;VERDADERO;460;FALSO
72;05/04/1990 7:07;105900;8825;37;VERDADERO;420;VERDADERO
73;12/01/2002 3:14;957600;79800;21;FALSO;160;FALSO
74;24/06/2006 17:18;772600;64383;84;VERDADERO;450;FALSO
75;13/01/2007 13:59;692800;57733;53;FALSO;130;FALSO
76;13/08/2005 17:45;563600;46966;52;VERDADERO;200;FALSO
77;22/07/2009 12:40;342300;28525;30;FALSO;110;FALSO
78;14/10/2003 10:57;640700;53391;93;FALSO;360;FALSO
79;26/09/1992 0:08;790000;65833;15;FALSO;280;VERDADERO
80;16/03/2003 6:51;984400;82033;71;FALSO;250;VERDADERO
81;26/06/1992 4:43;595400;49616;68;VERDADERO;470;FALSO
82;20/05/2011 9:59;276000;23000;82;FALSO;370;VERDADERO
83;19/11/1995 17:13;487300;40608;69;FALSO;480;VERDADERO
84;19/04/2012 2:41;218100;18175;24;VERDADERO;170;FALSO
85;22/08/2010 14:52;928600;77383;46;FALSO;380;VERDADERO
86;08/08/2006 2:18;897500;74791;27;FALSO;120;FALSO
87;17/12/1998 16:14;194800;16233;80;VERDADERO;280;VERDADERO
88;27/07/2005 9:46;239100;19925;70;FALSO;490;VERDADERO
89;08/08/1995 16:36;206300;17191;90;FALSO;430;VERDADERO
90;20/07/2012 15:46;147000;12250;75;VERDADERO;260;FALSO
91;23/11/2009 18:09;838900;69908;41;VERDADERO;370;VERDADERO
92;04/01/1992 20:49;404000;33666;11;VERDADERO;200;VERDADERO
93;25/07/1995 18:33;124700;10391;27;FALSO;280;VERDADERO
94;14/02/2012 12:59;927400;77283;97;FALSO;330;FALSO
95;20/09/2009 19:16;605500;50458;65;VERDADERO;240;VERDADERO
96;19/04/2001 0:28;763500;63625;50;VERDADERO;250;FALSO
97;15/10/2011 13:11;795200;66266;76;VERDADERO;210;FALSO
98;09/02/2003 13:53;204100;17008;11;VERDADERO;100;VERDADERO
99;20/03/1997 21:48;616800;51400;38;VERDADERO;140;FALSO
100;16/06/2000 9:35;511500;42625;84;FALSO;400;VERDADERO
101;16/01/2003 22:17;329000;27416;23;VERDADERO;360;FALSO
102;06/07/1993 5:36;310800;25900;80;FALSO;110;FALSO
103;16/07/1994 18:31;872500;72708;13;FALSO;160;FALSO
104;09/10/2009 17:53;316800;26400;15;FALSO;350;FALSO
105;18/04/2006 22:55;363000;30250;13;VERDADERO;490;VERDADERO
106;16/07/2001 1:41;197200;16433;61;VERDADERO;440;FALSO
107;13/05/2004 5:58;368700;30725;29;FALSO;50;FALSO
108;21/09/2002 6:55;151500;12625;82;FALSO;40;FALSO
109;20/01/2008 14:54;756600;63050;32;FALSO;20;VERDADERO
110;21/03/2007 22:25;933700;77808;22;VERDADERO;250;FALSO
111;21/10/2011 13:59;975800;81316;39;FALSO;110;FALSO
112;28/11/2005 9:03;455900;37991;86;FALSO;240;VERDADERO
113;28/02/2007 0:35;807500;67291;13;FALSO;320;FALSO
114;28/11/2005 3:48;513000;42750;50;FALSO;400;VERDADERO
115;26/02/2008 15:20;746700;62225;49;VERDADERO;370;VERDADERO
116;02/06/1998 22:22;865000;72083;66;FALSO;190;VERDADERO
117;01/10/2011 20:41;933700;77808;85;VERDADERO;320;FALSO
118;11/12/1997 18:19;722500;60208;15;FALSO;470;FALSO
119;02/05/2004 4:59;111200;9266;48;FALSO;210;VERDADERO
120;16/07/1993 11:41;435400;36283;98;VERDADERO;460;VERDADERO
121;25/01/1990 1:44;180900;15075;44;VERDADERO;160;VERDADERO
122;14/04/2001 12:25;932200;77683;31;VERDADERO;330;FALSO
123;19/08/1996 6:02;446400;37200;24;VERDADERO;430;VERDADERO
124;18/08/2003 10:18;623200;51933;90;FALSO;40;VERDADERO
125;31/05/2009 22:31;538700;44891;12;VERDADERO;320;VERDADERO
126;25/09/2002 13:32;421300;35108;47;FALSO;470;FALSO
127;18/06/2003 2:50;320600;26716;77;FALSO;100;FALSO
128;18/12/1993 7:38;788300;65691;66;VERDADERO;190;FALSO
129;26/04/1994 2:18;591300;49275;73;VERDADERO;350;VERDADERO
130;23/06/2010 10:20;596300;49691;97;VERDADERO;440;FALSO
131;19/01/2005 12:54;695600;57966;80;FALSO;20;VERDADERO
132;22/08/2008 7:33;328000;27333;65;VERDADERO;270;FALSO
133;08/06/1999 11:15;470000;39166;37;VERDADERO;190;FALSO
134;11/01/2011 17:47;271900;22658;77;FALSO;320;VERDADERO
135;02/04/2002 9:37;178600;14883;42;FALSO;420;FALSO
136;25/05/1996 17:22;963800;80316;81;FALSO;110;FALSO
137;06/06/2008 19:47;251300;20941;90;FALSO;330;VERDADERO
138;26/04/2003 8:59;831600;69300;23;VERDADERO;490;VERDADERO
139;16/08/2001 4:52;577500;48125;79;FALSO;230;FALSO
140;20/01/2003 12:39;258500;21541;77;VERDADERO;290;VERDADERO
141;09/06/1997 7:04;708100;59008;22;FALSO;80;FALSO
142;06/03/1999 18:59;642000;53500;94;FALSO;350;VERDADERO
143;21/06/2007 11:44;157700;13141;88;VERDADERO;440;VERDADERO
144;17/09/1996 9:12;678900;56575;62;VERDADERO;220;FALSO
145;13/04/2001 2:39;348900;29075;59;FALSO;450;VERDADERO
146;14/09/2000 5:35;595400;49616;96;VERDADERO;30;VERDADERO
147;27/08/2007 9:30;546400;45533;54;VERDADERO;490;FALSO
148;25/09/1990 18:57;966200;80516;34;VERDADERO;330;VERDADERO
149;15/02/2010 8:42;820800;68400;51;VERDADERO;20;VERDADERO
150;21/04/2002 12:40;106100;8841;60;FALSO;240;VERDADERO
151;01/09/1993 16:41;871300;72608;93;FALSO;80;VERDADERO
152;12/07/1995 18:09;444200;37016;84;FALSO;110;VERDADERO
153;01/06/2001 20:30;626300;52191;36;VERDADERO;420;VERDADERO
154;26/08/1998 1:24;347000;28916;97;VERDADERO;80;FALSO
155;13/05/2004 1:03;129300;10775;63;VERDADERO;320;VERDADERO
156;18/11/2007 3:53;347800;28983;42;FALSO;310;FALSO
157;06/05/2004 16:38;249400;20783;30;FALSO;160;VERDADERO
158;04/05/1990 23:19;826200;68850;25;VERDADERO;480;VERDADERO
159;24/07/1998 0:31;110200;9183;84;FALSO;410;VERDADERO
160;14/04/2001 2:32;953800;79483;34;VERDADERO;250;VERDADERO
161;19/03/2005 21:49;104400;8700;83;FALSO;90;VERDADERO
162;23/05/2004 8:01;881300;73441;12;VERDADERO;20;FALSO
163;07/06/2000 13:51;817500;68125;81;FALSO;430;FALSO
164;14/11/1998 3:13;545700;45475;55;FALSO;250;VERDADERO
165;04/03/2004 11:22;272700;22725;55;FALSO;400;VERDADERO
166;16/01/2006 19:56;573100;47758;78;FALSO;200;VERDADERO
167;14/09/2008 17:29;466700;38891;94;VERDADERO;30;VERDADERO
168;12/05/1990 21:18;458800;38233;16;VERDADERO;220;FALSO
169;10/06/2003 7:05;142600;11883;50;VERDADERO;360;VERDADERO
170;04/10/1996 4:28;562500;46875;52;VERDADERO;70;FALSO
171;05/10/2010 19:01;821800;68483;55;VERDADERO;140;VERDADERO
172;31/10/2000 12:00;112100;9341;47;FALSO;260;VERDADERO
173;03/09/1994 21:13;850700;70891;19;VERDADERO;280;VERDADERO
174;06/10/2005 7:56;920600;76716;48;VERDADERO;270;FALSO
175;28/09/2008 16:10;841100;70091;29;FALSO;230;VERDADERO
176;04/03/1993 16:23;789200;65766;51;VERDADERO;340;FALSO
177;15/11/2005 11:39;567300;47275;34;FALSO;260;FALSO
178;17/12/2009 16:05;838100;69841;97;FALSO;390;VERDADERO
179;19/05/1996 2:39;503100;41925;65;FALSO;50;FALSO
180;12/09/1999 21:19;601000;50083;88;VERDADERO;40;FALSO
181;31/12/2011 14:28;614800;51233;97;VERDADERO;180;FALSO
182;09/08/2010 11:40;709700;59141;51;VERDADERO;110;FALSO
183;27/02/2006 11:33;200300;16691;83;VERDADERO;480;VERDADERO
184;28/03/2011 12:36;473600;39466;15;VERDADERO;260;FALSO
185;20/08/1991 6:47;906300;75525;46;VERDADERO;370;FALSO
186;22/02/1994 22:28;291300;24275;14;VERDADERO;450;VERDADERO
187;08/08/1990 4:48;344800;28733;41;VERDADERO;130;VERDADERO
188;31/05/1996 4:59;211400;17616;87;FALSO;10;FALSO
189;12/11/2000 22:08;450800;37566;52;VERDADERO;400;FALSO
190;10/01/2010 14:39;792900;66075;44;FALSO;430;FALSO
191;28/02/2002 21:36;649200;54100;79;VERDADERO;410;FALSO
192;26/02/2012 18:14;817200;68100;82;VERDADERO;50;VERDADERO
193;23/11/1990 4:31;512100;42675;99;VERDADERO;40;FALSO
194;03/06/1992 20:52;794300;66191;73;VERDADERO;360;FALSO
195;03/03/1990 2:28;398500;33208;94;FALSO;190;VERDADERO
196;13/11/2006 16:29;277500;23125;19;VERDADERO;480;VERDADERO
197;10/11/2002 15:55;960000;80000;21;FALSO;90;VERDADERO
198;18/01/1993 22:44;468200;39016;60;VERDADERO;90;VERDADERO
199;17/01/2011 20:38;953500;79458;23;VERDADERO;400;FALSO
200;26/02/2003 23:22;767000;63916;57;VERDADERO;20;FALSO
201;22/07/2004 18:45;653400;54450;16;FALSO;30;FALSO
